RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,AverageMInFile,NumSatisfactoryTrades,PercentTradesNeverDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
Bad,59,249,119,4,30,5,2,10,0,40,23,0,58,32,1,1,0,100
Good,73,266,132,21,96,6,6,25,4,26,0,3,20,32,2,2,0,45
Good,88,302,105,22,100,7,8,22,2,23,23,0,2,15,5,2,0,64
Bad,64,180,62,21,95,6,6,21,2,29,0,7,107,32,2,1,2,75
Bad,66,128,45,7,89,0,3,9,1,33,0,4,13,88,4,2,0,100
Good,81,246,86,21,100,7,8,22,0,55,23,0,0,89,0,6,0,43
Bad,70,83,48,7,88,6,5,8,1,13,2,1,38,32,3,1,0,67
Bad,63,134,58,6,100,6,8,6,0,33,6,0,94,100,3,1,1,80
Good,83,165,92,33,100,7,8,50,1,68,0,1,16,85,3,6,0,69
Bad,58,20,11,4,88,6,4,8,4,88,2,1,62,103,20,4,2,100
Good,76,292,110,38,98,6,6,44,3,18,6,0,21,96,7,2,2,59
Bad,58,254,142,31,82,6,6,33,1,67,0,5,61,33,2,4,1,88
Bad,77,158,67,16,94,4,6,17,2,12,0,2,10,91,1,2,0,50
Good,75,367,118,57,95,6,6,58,3,24,23,0,5,44,4,4,0,41
Good,69,220,93,30,97,4,6,30,1,30,1,1,14,73,6,2,1,69
Good,70,308,77,41,95,0,2,42,3,29,0,2,6,78,4,7,1,48
Good,67,106,63,24,100,7,8,24,1,63,7,0,51,22,6,7,0,87
Good,84,285,84,14,100,7,8,14,0,14,20,0,32,32,1,1,0,25
Good,62,220,79,12,93,4,6,15,1,21,3,1,93,32,4,1,3,83
Good,84,128,81,13,100,7,8,14,1,7,0,3,0,93,1,1,0,33
Good,77,145,36,7,100,7,8,8,4,25,3,3,42,32,1,2,0,60
Good,85,182,96,19,96,6,6,24,0,42,9,0,5,32,2,1,0,75
Good,88,192,90,17,100,7,8,18,1,33,1,2,9,66,2,2,0,44
Good,78,310,72,40,100,7,8,41,5,27,10,0,46,68,4,4,2,67
Bad,71,225,131,16,75,6,6,16,1,19,1,1,24,32,8,1,0,90
Good,67,284,84,44,100,7,8,45,1,27,2,1,48,50,11,3,4,70
Good,69,198,88,29,97,6,6,32,2,37,1,4,61,93,5,3,2,62
Bad,70,182,103,24,92,6,6,48,1,79,0,2,68,32,3,2,2,83
Good,80,222,96,28,93,6,6,29,2,41,0,0,14,45,2,4,0,46
Good,70,240,93,20,100,7,8,20,0,15,0,1,67,32,7,1,5,69
Good,87,178,96,33,100,7,8,33,0,24,0,4,9,32,4,-8,0,21
Good,86,238,82,13,93,6,6,14,1,21,0,0,9,32,3,1,0,44
Bad,67,132,38,11,100,0,8,12,4,36,0,3,35,97,3,3,0,75
Good,79,196,50,13,100,7,8,13,3,46,0,0,48,32,2,1,2,60
Bad,69,323,107,44,96,6,6,46,1,22,0,0,46,94,18,3,3,60
Bad,61,49,29,4,75,4,6,4,0,75,0,1,56,64,1,2,0,100
Bad,66,147,79,19,84,6,6,20,1,63,0,2,35,17,1,3,1,57
Bad,71,404,130,26,81,4,5,27,1,15,0,0,19,49,5,2,1,44
Good,82,336,106,23,100,7,8,23,1,22,0,2,2,56,2,2,0,31
Bad,91,387,143,8,100,7,8,8,0,0,0,0,20,32,4,-8,1,80
Good,80,208,94,17,100,7,8,19,2,37,0,1,49,32,4,2,1,100
Good,66,233,82,8,78,2,4,9,2,22,0,0,0,32,0,2,0,60
Good,76,98,50,15,100,7,8,15,2,27,0,0,42,60,2,2,1,63
Bad,64,11,5,2,100,7,8,3,3,67,0,0,60,32,1,1,2,100
Bad,64,220,86,42,98,0,6,45,2,9,0,2,51,32,8,1,5,39
Bad,56,82,39,6,86,0,6,8,2,71,0,1,118,72,1,2,2,100
Good,85,245,120,20,100,7,8,21,1,24,0,1,14,32,2,1,1,30
Good,84,162,75,16,100,7,8,16,1,31,0,0,8,87,3,2,0,75
Bad,76,194,132,15,94,6,2,16,0,31,0,4,0,47,1,2,0,45
Bad,57,41,29,7,57,6,6,7,0,43,0,0,93,62,3,2,1,83
Bad,63,363,85,15,93,6,6,15,1,67,0,0,91,74,1,4,1,83
Good,64,98,49,10,90,6,6,10,4,30,0,1,83,32,4,1,3,63
Good,75,162,93,18,95,6,2,19,1,26,0,0,19,82,4,3,0,78
Bad,64,244,78,43,100,7,8,44,4,25,0,6,88,32,13,4,6,86
Good,75,85,60,7,78,6,4,9,2,44,0,0,5,32,3,1,2,80
Bad,65,102,40,20,100,7,8,20,1,20,0,1,46,65,6,3,2,82
Bad,78,199,70,29,97,6,3,34,2,24,0,0,8,32,2,2,0,25
Good,80,156,78,19,95,6,6,19,0,11,0,1,9,32,3,1,1,29
Good,79,457,106,14,100,7,8,14,1,7,0,0,30,86,12,1,1,100
Bad,63,140,76,22,95,6,6,22,0,23,0,3,91,32,2,1,2,60
Bad,66,223,117,9,62,3,4,13,0,23,0,2,15,32,1,1,0,22
Good,84,233,72,23,100,7,8,23,1,35,0,0,16,40,3,3,0,67
Bad,61,198,56,20,100,7,8,21,2,5,0,1,88,32,12,1,8,87
Good,81,198,92,20,100,7,8,20,1,30,0,2,34,76,2,4,0,60
Bad,72,132,66,21,95,6,6,22,1,27,0,0,39,83,7,3,0,83
Good,76,279,119,43,100,7,8,50,5,18,0,0,38,97,8,3,4,55
Bad,64,165,83,9,100,5,8,10,0,44,0,0,92,32,3,1,1,100
Bad,86,296,112,20,100,7,8,22,1,41,0,0,17,96,2,1,0,33
Bad,65,141,59,44,95,5,6,44,5,50,0,4,51,67,5,2,3,64
Good,72,400,104,38,100,7,8,39,5,18,0,0,37,3,9,2,3,63
Good,68,348,91,34,100,7,8,34,0,32,0,0,78,68,11,4,7,76
Good,80,192,72,22,100,6,8,23,2,39,0,1,13,96,2,3,1,63
Bad,72,177,48,31,100,7,8,34,7,47,0,12,45,93,6,6,2,60
Bad,60,34,19,11,100,7,8,11,2,45,0,4,49,95,4,2,1,75
Good,84,268,93,15,100,7,8,15,1,33,0,1,1,50,2,2,0,71
Bad,72,160,106,9,100,0,8,11,0,0,0,0,3,32,1,-8,0,11
Bad,73,139,61,14,100,7,8,14,0,14,0,3,59,66,6,1,2,78
Good,80,201,94,17,100,7,8,17,1,24,0,0,36,9,4,2,1,43
Bad,65,305,74,18,60,6,2,25,2,48,0,1,8,98,1,2,0,60
Bad,66,150,52,22,92,4,6,26,3,15,0,2,7,37,4,2,0,40
Good,76,241,80,48,100,5,8,49,2,20,0,2,22,32,9,-8,1,37
Good,70,284,71,18,100,7,8,19,4,32,0,10,31,100,9,6,0,94
Good,69,114,57,28,90,4,6,29,0,55,0,0,85,58,2,4,1,100
Good,78,143,71,60,100,7,8,61,4,16,0,1,12,73,4,2,1,23
Bad,57,89,48,25,89,4,2,28,3,32,0,1,36,55,9,2,1,73
Good,64,228,84,60,95,6,6,60,4,38,0,0,35,32,10,2,3,68
Bad,72,21,16,3,100,7,8,3,1,67,0,1,4,87,1,2,2,100
Good,67,279,80,51,94,5,6,52,2,37,0,1,45,86,15,4,3,70
Bad,60,28,19,9,100,7,8,10,3,20,0,2,58,32,3,1,1,100
Bad,64,58,24,2,67,6,4,3,2,67,0,1,62,81,20,2,2,100
Good,89,218,95,25,100,5,8,26,0,38,0,0,3,32,3,1,0,57
Good,83,154,57,13,93,6,6,14,1,43,0,0,4,80,1,4,1,45
Bad,81,126,31,25,100,7,8,28,9,4,0,5,12,32,6,-8,0,30
Good,88,286,133,4,100,7,8,5,0,60,0,0,9,32,1,-8,0,100
Bad,82,103,85,1,50,6,6,3,0,0,0,0,0,32,0,-8,2,0
Bad,77,141,77,29,100,7,8,31,3,42,0,0,33,85,4,2,2,55
Good,72,195,128,16,78,4,6,18,2,50,0,1,11,78,4,1,0,83
Bad,54,298,107,5,38,2,2,13,3,15,0,0,44,29,3,2,0,83
Bad,66,122,72,17,94,4,6,17,2,24,0,1,48,89,3,3,1,50
Good,84,273,119,19,95,6,6,19,1,16,0,2,3,32,2,1,0,30
Bad,55,189,81,35,78,0,2,42,0,44,0,3,67,36,5,2,1,64
Bad,66,259,108,10,100,6,8,14,4,10,0,2,18,32,3,1,1,67
Bad,67,62,32,10,100,7,8,10,2,40,0,2,89,49,5,3,2,100
Good,88,371,133,10,100,7,8,10,1,10,0,1,2,32,2,-8,0,25
Bad,68,17,17,1,100,7,8,1,0,100,0,1,62,32,20,1,2,100
Good,82,160,67,26,97,6,6,30,3,27,0,0,8,89,3,3,0,50
Bad,85,152,84,17,88,6,6,17,0,12,0,1,4,32,1,1,0,15
Bad,61,79,39,29,84,4,6,32,4,47,0,4,24,102,7,4,1,85
Good,82,193,75,36,100,7,8,37,3,38,0,5,7,32,2,2,0,33
Bad,84,247,91,26,100,7,8,26,2,27,0,2,44,32,5,1,2,33
Good,86,332,95,19,100,7,8,19,0,21,0,1,9,32,2,-8,0,33
Bad,57,264,155,3,40,4,2,5,2,40,0,4,0,32,0,1,2,50
Bad,74,217,94,28,100,6,8,30,1,57,0,2,72,32,4,2,3,75
Bad,67,163,71,14,100,6,8,14,1,36,0,1,67,76,2,3,1,67
Bad,64,185,109,15,78,6,2,18,3,33,0,4,24,80,3,1,0,57
Good,75,264,89,54,98,6,6,55,1,36,0,1,33,55,5,4,1,67
Bad,56,113,70,7,50,0,2,13,0,58,0,1,0,32,0,1,2,50
Bad,57,68,37,15,81,6,6,16,3,50,0,1,98,85,4,4,1,80
Bad,70,211,80,10,90,4,6,10,4,10,0,3,51,32,5,-8,1,63
Bad,65,377,113,34,97,6,6,34,2,44,0,1,45,68,8,4,2,71
Bad,56,30,26,3,75,4,6,4,0,50,0,0,97,77,2,1,1,100
Bad,75,207,46,17,100,7,8,17,4,24,0,4,62,66,6,2,0,67
Good,81,232,81,20,100,7,8,21,1,10,0,0,13,32,6,1,1,50
Bad,72,354,105,22,100,7,8,24,5,29,0,0,89,77,7,3,5,92
Good,73,361,144,18,89,6,6,18,0,39,0,1,51,9,2,2,1,56
Good,66,245,131,12,79,4,5,14,0,36,0,1,46,32,3,1,0,100
Bad,70,112,45,15,94,6,6,16,2,38,0,1,39,82,5,3,1,73
Bad,70,217,66,31,97,6,6,33,6,52,0,2,71,94,3,9,1,82
Bad,67,434,99,20,100,7,8,20,3,5,0,4,83,32,8,-8,6,57
Bad,56,137,65,38,80,4,5,41,2,27,0,1,64,48,7,2,2,69
Bad,68,329,80,32,91,6,6,34,3,33,0,8,31,32,7,1,2,57
Bad,66,169,102,16,76,6,6,17,0,24,0,0,71,32,5,-8,2,71
Bad,66,152,78,11,100,6,8,12,1,36,0,1,86,64,4,2,1,86
Good,72,298,96,28,93,6,6,28,4,25,0,0,16,36,5,4,0,50
Good,77,242,97,23,100,7,8,23,0,4,0,0,44,32,5,1,2,50
Bad,72,110,52,33,97,6,2,37,4,22,0,6,12,99,6,2,0,42
Bad,71,188,63,46,98,6,6,47,7,23,0,1,44,39,8,4,5,50
Bad,66,322,102,28,100,7,8,28,0,43,0,1,67,72,6,6,3,71
Bad,69,146,73,31,100,7,8,31,4,29,0,2,63,52,6,4,3,83
Bad,63,119,46,24,93,6,5,28,4,39,0,1,87,32,9,2,7,92
Good,77,152,67,12,92,6,6,15,3,23,0,1,7,67,4,1,0,71
Bad,69,55,33,11,91,6,6,11,0,55,0,0,18,32,4,1,2,83
Bad,72,256,48,21,95,6,6,22,2,32,0,1,34,89,3,2,1,50
Good,57,59,59,0,0,6,5,1,0,100,0,3,62,32,20,1,2,100
Bad,57,154,68,24,71,4,4,28,3,14,0,1,38,30,6,1,0,42
Good,73,29,23,2,100,7,8,2,0,50,0,2,62,32,20,-8,2,90
Bad,78,263,116,14,100,7,8,16,3,19,0,14,45,32,4,-8,2,40
Good,56,302,69,62,97,1,3,63,9,24,0,1,12,60,24,5,1,71
Bad,67,188,123,21,77,6,6,22,3,9,0,1,68,32,5,-8,2,83
Bad,72,56,25,14,100,7,8,14,4,14,0,1,20,32,6,1,1,64
Bad,76,172,91,21,91,6,6,22,1,23,0,2,12,57,2,1,1,25
Bad,78,128,54,7,100,7,8,8,3,63,0,2,62,2,1,2,2,100
Bad,68,105,58,13,57,4,6,14,1,86,0,0,60,58,2,2,0,100
Good,91,446,153,12,100,7,8,12,0,33,0,0,4,32,1,-8,0,20
Bad,79,350,97,28,100,7,8,28,1,39,0,0,29,90,1,3,1,27
Good,75,303,97,35,97,6,2,37,1,49,0,0,6,49,2,2,1,57
Bad,66,46,26,10,100,7,8,10,1,70,0,3,94,59,2,3,1,83
Bad,63,110,38,4,80,6,6,5,2,60,0,3,63,87,1,2,0,100
Bad,68,39,24,7,100,7,8,7,2,29,0,1,85,32,2,1,2,75
Good,75,187,70,32,100,7,8,32,5,28,0,0,20,81,6,3,1,47
Good,82,306,67,18,100,7,8,19,2,32,0,1,0,58,2,4,0,46
Bad,73,179,102,34,100,7,8,34,1,15,0,0,65,32,6,-8,2,40
Bad,59,172,54,16,82,4,6,17,3,47,0,0,64,13,3,3,2,55
Bad,60,423,109,32,94,4,6,34,1,38,0,0,72,5,8,3,6,79
Good,82,193,74,13,100,7,8,13,0,38,0,0,21,60,3,2,2,63
Bad,59,183,73,28,90,0,2,31,2,32,0,10,66,62,5,3,1,57
Good,83,227,95,18,100,7,8,19,0,37,0,0,26,33,2,2,0,50
Bad,64,204,118,17,78,4,6,18,0,56,0,0,48,51,6,1,0,88
Bad,66,228,91,18,80,6,5,20,2,30,0,0,66,97,6,2,4,67
Good,81,370,78,25,96,6,6,26,1,42,0,1,0,67,1,3,0,40
Bad,65,60,30,14,93,4,6,14,5,71,0,0,65,85,2,3,0,71
Bad,58,162,103,35,66,5,2,41,1,49,0,1,69,92,8,5,2,88
Bad,54,184,101,42,88,4,6,43,4,51,0,1,64,83,8,3,3,93
Bad,66,173,87,21,95,6,6,22,0,14,0,5,66,32,2,1,2,33
Bad,78,193,100,24,81,6,5,26,0,19,0,2,0,32,3,1,0,42
Good,87,270,83,28,100,7,8,28,0,25,0,0,0,32,1,-8,0,10
Bad,89,243,94,15,100,7,8,15,0,27,0,1,8,94,1,1,0,25
Good,81,297,84,23,100,7,8,23,2,9,0,1,23,8,4,1,0,28
Bad,74,235,120,34,100,7,8,34,0,32,0,0,52,58,13,3,4,74
Good,66,105,46,20,100,7,8,20,1,20,0,1,78,67,5,2,4,73
Bad,66,340,117,36,100,7,8,36,1,11,0,0,81,32,20,1,11,75
Bad,85,358,157,4,80,6,5,5,0,0,0,0,0,32,0,-8,0,0
Bad,70,117,56,11,100,7,8,11,0,27,0,1,99,6,4,1,2,100
Good,81,253,80,28,100,7,8,29,4,34,0,4,4,32,3,5,0,50
Bad,73,60,40,18,100,7,8,20,1,10,0,2,17,32,3,1,1,33
Bad,85,231,77,14,93,6,5,15,1,20,0,0,0,59,1,1,0,38
Bad,58,223,106,24,89,4,3,27,5,37,0,1,31,93,4,4,0,67
Bad,82,86,40,9,100,7,8,10,2,30,0,1,16,82,2,2,0,50
Bad,76,109,58,45,96,6,6,46,3,15,0,1,6,32,8,1,1,33
Bad,63,105,67,22,76,4,2,25,1,48,0,2,11,75,3,3,0,86
Good,70,312,90,31,100,7,8,31,1,13,0,0,49,72,8,1,3,43
Good,82,144,61,24,96,6,5,25,1,24,0,1,5,47,4,2,0,46
Bad,72,113,55,25,96,5,7,25,0,48,0,2,52,27,4,4,1,73
Good,73,112,50,22,100,7,8,25,1,29,0,0,39,32,7,2,1,64
Bad,79,281,150,6,100,7,8,6,0,33,0,0,81,32,1,1,1,50
Good,91,277,163,12,100,7,8,12,0,25,0,0,1,32,3,1,0,50
Bad,75,199,73,37,97,6,6,39,4,16,0,2,25,32,6,2,2,50
Bad,81,101,41,12,100,7,8,12,0,42,0,2,6,32,1,4,0,83
Bad,66,141,73,25,92,6,6,26,2,54,0,0,81,96,6,3,5,90
Bad,59,49,20,16,100,7,8,17,8,24,0,1,52,100,7,4,1,79
Good,60,137,76,28,90,0,2,30,1,20,0,4,54,100,4,2,1,55
Good,89,243,116,6,100,7,8,6,2,17,0,0,17,32,3,1,0,100
Good,73,385,87,20,95,4,6,20,1,15,0,0,28,32,4,1,0,36
Good,81,203,87,18,100,7,8,19,2,5,0,2,16,32,2,1,0,33
Good,65,100,40,15,93,4,6,15,3,47,0,0,50,65,3,2,0,71
Bad,84,150,68,23,100,7,8,25,1,24,0,0,1,32,1,1,1,17
Good,79,131,70,17,94,6,6,17,0,29,0,0,0,52,1,2,0,38
Bad,72,410,147,7,100,6,8,10,2,38,0,6,6,98,1,1,0,50
Bad,64,258,123,10,64,4,5,11,2,9,0,2,36,32,4,-8,1,50
Bad,58,211,54,39,95,4,6,39,4,23,0,1,25,43,5,3,3,47
Good,68,377,96,35,97,6,6,37,2,22,0,0,53,97,16,2,5,79
Bad,65,99,46,24,100,7,8,24,2,33,0,2,51,67,7,2,2,64
Good,61,73,46,8,100,7,8,10,0,75,0,0,62,32,20,-8,2,90
Good,85,176,95,12,100,7,8,14,1,21,0,0,26,32,3,-8,0,100
Good,78,179,81,24,100,7,8,26,5,15,0,3,12,94,5,2,0,44
Good,93,310,138,10,100,7,8,10,1,20,0,0,1,32,1,-8,0,13
Bad,69,172,63,13,87,6,5,15,3,40,0,0,80,32,3,1,2,50
Good,74,132,72,15,100,7,8,16,1,19,0,2,58,62,5,2,1,80
Bad,91,286,133,10,100,7,8,10,0,20,0,0,10,32,2,-8,0,40
Bad,65,31,16,5,83,4,6,6,2,33,0,6,0,93,1,1,0,40
Bad,66,136,62,55,98,5,2,57,4,23,0,1,41,60,9,5,4,56
Bad,67,100,61,19,100,7,8,21,1,43,0,0,99,82,7,1,5,89
Bad,86,317,95,12,92,6,6,13,0,0,0,0,7,32,3,-8,0,80
Bad,78,56,32,8,100,7,8,9,3,22,0,1,23,19,4,2,0,86
Good,82,368,106,23,100,7,8,23,2,22,0,1,8,32,3,1,1,36
Bad,55,77,48,5,100,7,8,8,2,67,0,2,94,190,2,4,2,100
Bad,69,271,81,36,97,6,5,39,2,26,0,6,35,94,4,2,1,46
Bad,86,438,81,12,92,6,6,12,1,42,0,0,5,32,3,1,0,57
Bad,66,77,25,8,100,7,8,8,5,13,0,1,93,72,5,1,1,100
Bad,59,75,50,2,50,6,6,5,1,50,0,7,0,32,0,-8,2,0
Good,84,290,140,16,100,7,8,19,1,21,0,8,0,97,1,2,0,44
Bad,79,41,15,6,100,7,8,8,2,25,0,2,1,64,1,2,0,38
Good,84,186,93,22,100,7,8,25,1,32,0,0,0,71,1,2,2,50
Bad,67,89,36,16,100,7,8,19,5,26,0,4,63,29,6,2,3,73
Bad,75,198,69,30,100,7,8,30,3,13,0,0,46,97,4,2,2,67
Bad,68,116,59,31,97,6,6,33,0,52,0,1,16,44,2,6,0,75
Bad,79,209,77,28,100,7,8,28,3,29,0,0,43,32,4,2,2,55
Good,65,29,18,10,100,7,8,10,3,40,0,5,38,68,5,3,0,89
Bad,89,323,117,9,100,7,8,9,1,11,0,5,0,32,0,-8,2,0
Bad,74,145,50,15,100,7,8,15,2,33,0,1,46,32,4,1,1,86
Bad,65,216,89,50,96,5,6,51,2,43,0,3,88,56,12,7,8,90
Bad,66,134,51,21,100,7,8,21,5,29,0,3,59,44,5,2,3,58
Bad,63,50,25,10,100,7,8,10,0,60,0,5,76,72,3,2,1,83
Good,68,164,75,9,89,5,7,11,0,22,0,1,49,32,2,-8,1,50
Bad,65,207,82,36,100,7,8,36,3,25,0,2,64,42,11,2,6,59
Bad,71,133,69,16,94,6,2,19,3,72,0,2,13,41,2,2,1,80
Bad,82,78,31,9,100,7,8,10,2,40,0,1,5,77,2,1,0,60
Good,79,147,50,34,100,7,8,34,7,15,0,1,1,44,2,2,0,18
Bad,68,28,21,3,100,7,8,3,1,100,0,0,62,32,20,2,2,100
Good,67,344,171,24,96,6,6,26,3,31,0,0,77,68,6,3,4,71
Bad,73,78,39,29,100,7,8,30,3,23,0,2,16,84,5,5,0,77
Good,59,278,135,32,71,0,2,34,2,15,0,1,3,58,8,2,0,52
Bad,73,55,33,7,100,7,8,7,1,86,0,1,62,71,20,2,2,100
Bad,76,261,122,18,100,5,8,18,2,44,0,2,43,70,3,4,2,70
Bad,70,182,34,7,100,7,8,8,5,13,0,2,57,32,4,-8,1,100
Good,91,397,140,21,100,7,8,21,0,19,0,0,3,32,1,1,0,22
Good,69,324,127,22,95,6,6,22,0,41,0,0,16,64,7,3,2,73
Bad,63,129,50,6,75,3,2,12,2,33,0,4,17,32,2,1,0,75
Bad,61,187,95,18,82,4,3,22,2,18,0,1,21,32,5,1,0,86
Good,89,176,83,12,100,7,8,12,2,58,0,0,0,32,1,1,0,50
Bad,61,183,114,15,76,0,2,17,0,18,0,0,0,32,1,-8,2,33
Bad,65,125,75,14,79,6,3,19,1,53,0,0,85,32,1,1,1,75
Bad,63,197,91,39,98,6,6,40,0,30,0,2,58,22,8,2,3,56
Good,72,212,87,20,95,4,6,22,1,41,0,1,24,56,6,4,0,100
Good,72,148,38,15,100,7,8,15,3,33,0,4,16,96,4,2,1,100
Bad,72,275,80,4,80,4,6,5,0,60,0,0,56,58,1,2,1,75
Bad,65,267,101,5,100,7,8,8,3,57,0,2,0,92,0,2,2,67
Bad,55,270,89,20,76,4,6,21,2,14,0,2,51,32,11,1,2,86
Bad,74,47,28,6,100,7,8,7,0,43,0,0,62,47,1,2,2,100
Bad,57,108,55,36,93,3,5,45,1,27,0,2,75,73,7,9,6,80
Good,66,162,73,17,61,6,2,28,1,39,0,1,21,30,2,2,1,50
Bad,73,110,71,8,50,6,5,14,1,43,0,1,14,32,1,2,1,43
Good,73,345,111,20,86,6,5,22,1,41,0,1,23,153,4,7,1,69
Bad,62,76,26,14,83,6,5,18,7,67,0,2,61,92,6,4,1,100
Good,72,295,84,18,95,0,2,19,2,53,0,0,24,99,2,2,0,57
Bad,63,206,66,19,82,4,6,22,4,45,0,2,56,39,6,2,1,75
Bad,63,201,82,37,84,4,6,38,1,26,0,0,36,32,7,1,2,40
Bad,76,243,101,24,96,4,6,25,2,4,0,0,17,32,7,-8,0,54
Bad,65,277,79,27,93,6,6,30,4,21,0,11,29,43,6,3,2,56
Bad,55,208,75,49,94,4,6,50,1,20,0,0,5,32,4,3,1,41
Bad,83,282,65,22,95,6,6,22,3,55,0,1,0,71,0,4,0,57
Bad,73,322,120,17,89,1,3,18,0,11,0,1,15,32,3,-8,0,60
Good,84,137,73,49,100,7,8,51,2,25,0,1,1,32,1,2,0,17
Good,77,154,71,27,100,7,8,28,2,29,0,0,39,66,5,3,0,62
Good,64,31,14,6,100,7,8,6,2,17,0,2,68,32,5,1,1,100
Good,86,203,76,17,100,7,8,17,2,24,0,0,4,70,4,3,0,58
Bad,63,378,84,36,89,4,4,37,2,54,0,2,60,67,4,6,3,77
Good,89,135,80,30,100,7,8,30,0,17,0,0,0,32,1,1,0,22
Bad,68,178,73,27,90,6,6,30,4,52,0,0,73,69,3,3,1,86
Bad,65,56,35,37,100,7,8,39,3,13,0,0,65,93,15,2,8,62
Bad,63,85,27,4,83,4,4,7,4,83,0,0,3,100,1,2,2,100
Good,63,363,138,21,88,4,6,24,0,25,0,0,52,53,7,1,3,73
Good,76,308,135,10,92,5,2,13,0,31,0,0,1,32,1,-8,0,33
Good,79,238,92,23,96,6,6,23,1,22,0,0,31,49,8,3,0,61
Bad,71,151,34,10,100,7,8,12,7,25,0,4,53,32,6,-8,1,67
Good,76,158,73,25,100,7,8,27,2,19,0,2,23,32,6,3,1,64
Good,84,332,152,33,100,7,8,35,2,29,0,2,3,73,2,3,0,39
Good,88,135,85,4,100,7,8,4,0,50,0,1,0,32,0,-8,0,0
Bad,75,160,82,46,100,7,8,48,2,17,0,3,19,32,10,3,1,41
Good,81,311,80,22,100,7,8,23,1,9,0,0,24,32,5,1,1,67
Good,72,103,45,20,100,7,8,21,2,52,0,1,71,90,1,3,1,80
Bad,69,74,73,2,100,6,8,2,0,100,0,0,62,4,20,1,2,100
Good,73,111,30,18,100,7,8,20,3,50,0,5,27,68,2,6,0,80
Good,76,163,66,47,100,7,8,47,0,21,0,4,9,82,5,6,1,58
Bad,64,480,92,31,94,0,2,33,0,15,0,0,86,32,9,1,2,91
Good,77,127,54,27,100,7,8,27,1,41,0,0,33,34,4,8,1,63
Good,67,256,67,23,96,4,6,23,4,39,0,0,9,79,7,4,3,92
Bad,64,144,54,19,85,4,6,21,1,55,0,2,44,44,5,3,0,89
Bad,82,127,87,33,97,6,6,34,3,35,0,1,6,32,2,1,0,50
Good,87,324,104,16,100,7,8,16,0,0,0,0,5,32,2,-8,0,14
Bad,76,166,55,35,100,7,8,36,3,19,0,2,25,32,6,1,1,47
Good,77,240,78,20,100,7,8,20,1,45,0,0,34,67,4,2,2,60
Bad,64,62,42,10,100,7,8,10,1,0,0,2,84,32,8,-8,4,80
Bad,66,99,51,27,85,6,6,29,3,15,0,0,36,61,10,2,1,63
Good,69,115,52,18,82,6,3,22,2,18,0,0,23,93,5,2,1,41
Bad,55,176,68,17,89,4,6,20,0,42,0,3,84,44,6,2,4,80
Bad,62,193,78,15,100,6,8,16,2,40,0,3,99,38,5,2,3,100
Good,85,377,121,45,100,7,8,46,2,46,0,0,20,83,6,2,0,67
Bad,65,360,67,10,55,5,3,11,0,45,0,0,49,32,2,1,2,60
Bad,76,145,90,5,86,6,4,7,0,29,0,0,0,22,1,1,2,67
Good,86,363,180,26,97,5,7,29,1,28,0,0,3,52,3,1,1,45
Bad,68,115,59,15,93,4,6,15,0,53,0,4,39,22,2,2,0,67
Good,54,151,66,28,94,1,2,31,2,29,0,0,39,36,8,2,2,100
Good,86,380,138,23,100,7,8,23,1,13,0,1,5,99,3,2,0,42
Bad,74,119,39,4,100,7,8,4,1,75,0,0,64,75,1,2,0,100
Bad,55,39,17,21,96,5,7,23,7,26,0,2,64,77,9,4,0,78
Bad,55,584,172,17,76,4,6,17,0,24,0,8,61,72,8,1,1,100
Bad,59,170,69,40,87,3,5,46,5,41,0,0,38,54,11,5,3,77
Good,87,254,92,26,100,7,8,26,0,23,0,1,0,32,2,2,0,40
Good,70,221,66,46,98,6,6,47,5,6,0,1,48,32,3,-8,2,18
Bad,60,65,37,10,91,5,7,11,0,55,0,0,99,38,5,2,2,100
Good,81,279,94,44,98,6,6,47,0,36,0,0,19,56,7,2,0,64
Bad,61,34,16,5,100,6,8,5,2,60,0,0,95,56,2,2,2,100
Bad,64,49,24,11,100,7,8,11,2,27,0,0,79,32,6,1,6,88
Good,73,259,76,27,100,7,8,30,7,24,0,1,40,100,5,2,0,78
Good,84,245,103,17,100,7,8,17,3,24,0,1,16,37,1,2,0,30
Bad,73,105,71,24,92,6,6,25,3,4,0,0,47,32,4,1,4,38
Good,79,252,99,22,96,6,6,23,0,52,0,0,34,70,7,2,1,100
Good,81,151,82,21,95,6,5,22,0,23,0,0,1,46,1,4,0,100
Bad,76,258,127,10,80,6,6,10,0,20,0,0,40,32,1,1,1,22
Bad,59,101,47,32,97,6,6,33,7,33,0,1,38,81,7,4,2,58
Good,81,312,99,13,100,7,8,14,1,29,0,0,42,32,3,1,1,80
Good,86,143,55,12,100,7,8,13,2,23,0,1,8,32,4,1,0,56
Bad,66,99,58,25,85,5,5,26,1,62,0,0,49,47,3,4,2,64
Good,75,163,79,44,98,7,6,46,2,35,0,0,24,96,4,3,0,47
Bad,65,180,81,7,73,6,5,11,2,18,0,0,81,32,2,1,1,100
